dteday,hr,weekday,casual
2011-01-06,21,Kamis,0
2011-01-06,22,Kamis,1
2011-01-06,23,Kamis,4
2011-01-07,0,Jumat,4
2011-01-07,1,Jumat,2
2011-01-07,2,Jumat,0
2011-01-07,4,Jumat,0
2011-01-07,5,Jumat,0
2011-01-07,6,Jumat,8
2011-01-07,7,Jumat,8
2011-01-07,8,Jumat,20
2011-01-07,9,Jumat,9
2011-01-07,10,Jumat,16
2011-01-07,11,Jumat,19
2011-01-07,12,Jumat,9
2011-01-07,13,Jumat,9
2011-01-07,14,Jumat,7
2011-01-07,15,Jumat,9
2011-01-07,16,Jumat,5
2011-01-07,17,Jumat,9
2011-01-07,18,Jumat,7
2011-01-07,19,Jumat,3
2011-01-07,20,Jumat,1
2011-01-07,21,Jumat,0
2011-01-07,22,Jumat,2
2011-01-07,23,Jumat,1
2011-01-08,0,Sabtu,1
2011-01-08,1,Sabtu,1
2011-01-08,2,Sabtu,3
2011-01-08,3,Sabtu,0
2011-01-08,4,Sabtu,0
2011-01-08,5,Sabtu,0
2011-01-08,6,Sabtu,0
2011-01-08,7,Sabtu,1
2011-01-08,8,Sabtu,0
2011-01-08,9,Sabtu,0
2011-01-08,10,Sabtu,5
2011-01-08,11,Sabtu,2
2011-01-08,12,Sabtu,8
2011-01-08,13,Sabtu,7
2011-01-08,14,Sabtu,12
2011-01-08,15,Sabtu,5
2011-01-08,16,Sabtu,8
2011-01-08,17,Sabtu,5
2011-01-08,18,Sabtu,3
2011-01-08,19,Sabtu,4
2011-01-08,20,Sabtu,0
2011-01-08,21,Sabtu,2
2011-01-08,22,Sabtu,1
2011-01-08,23,Sabtu,0
2011-01-09,0,Minggu,1
2011-01-09,1,Minggu,0
2011-01-09,2,Minggu,0
2011-01-09,3,Minggu,0
2011-01-09,4,Minggu,0
2011-01-09,5,Minggu,0
2011-01-09,6,Minggu,0
2011-01-09,7,Minggu,1
2011-01-09,8,Minggu,0
2011-01-09,9,Minggu,0
2011-01-09,10,Minggu,0
2011-01-09,11,Minggu,2
2011-01-09,12,Minggu,4
2011-01-09,13,Minggu,6
2011-01-09,14,Minggu,8
2011-01-09,15,Minggu,5
2011-01-09,16,Minggu,13
2011-01-09,17,Minggu,3
2011-01-09,18,Minggu,4
2011-01-09,19,Minggu,1
2011-01-09,20,Minggu,0
2011-01-09,21,Minggu,1
2011-01-09,22,Minggu,5
2011-01-09,23,Minggu,0
2011-01-10,0,Senin,2
2011-01-10,1,Senin,1
2011-01-10,2,Senin,0
2011-01-10,3,Senin,0
2011-01-10,4,Senin,1
2011-01-10,5,Senin,0
2011-01-10,6,Senin,0
2011-01-10,7,Senin,2
2011-01-10,8,Senin,4
2011-01-10,9,Senin,2
2011-01-10,10,Senin,0
2011-01-10,11,Senin,2
2011-01-10,12,Senin,5
2011-01-10,13,Senin,4
2011-01-10,14,Senin,0
2011-01-10,15,Senin,2
2011-01-10,16,Senin,4
2011-01-10,17,Senin,4
2011-01-10,18,Senin,1
2011-01-10,19,Senin,3
2011-01-10,20,Senin,1
2011-01-10,21,Senin,1
2011-01-10,22,Senin,2
2011-01-10,23,Senin,0
2011-01-11,0,Selasa,2
2011-01-11,1,Selasa,0
2011-01-11,2,Selasa,0
2011-01-11,5,Selasa,0
2011-01-11,6,Selasa,0
2011-01-11,7,Selasa,2
2011-01-11,8,Selasa,3
2011-01-11,9,Selasa,3
2011-01-11,10,Selasa,3
2011-01-11,11,Selasa,4
2011-01-11,12,Selasa,2
2011-01-11,13,Selasa,6
2011-01-11,14,Selasa,3
2011-01-11,15,Selasa,2
2011-01-11,16,Selasa,4
2011-01-11,17,Selasa,6
2011-01-11,18,Selasa,1
2011-01-11,19,Selasa,0
2011-01-11,20,Selasa,0
2011-01-11,21,Selasa,0
2011-01-11,22,Selasa,1
2011-01-11,23,Selasa,1
2011-01-12,0,Rabu,0
2011-01-12,1,Rabu,0
2011-01-12,2,Rabu,0
2011-01-12,5,Rabu,0
2011-01-12,6,Rabu,0
2011-01-12,7,Rabu,0
2011-01-12,8,Rabu,3
2011-01-12,9,Rabu,3
2011-01-12,10,Rabu,0
2011-01-12,11,Rabu,3
2011-01-12,12,Rabu,3
2011-01-12,13,Rabu,0
2011-01-12,14,Rabu,0
2011-01-12,15,Rabu,1
2011-01-12,16,Rabu,5
2011-01-12,17,Rabu,0
2011-01-12,18,Rabu,2
2011-01-12,19,Rabu,1
2011-01-12,20,Rabu,2
2011-01-12,21,Rabu,0
2011-01-12,22,Rabu,1
2011-01-12,23,Rabu,1
2011-01-13,0,Kamis,1
2011-01-13,1,Kamis,0
2011-01-13,2,Kamis,0
2011-01-13,3,Kamis,0
2011-01-13,4,Kamis,0
2011-01-13,5,Kamis,0
2011-01-13,6,Kamis,0
2011-01-13,7,Kamis,0
2011-01-13,8,Kamis,5
2011-01-13,9,Kamis,2
2011-01-13,10,Kamis,2
2011-01-13,11,Kamis,4
2011-01-13,12,Kamis,3
2011-01-13,13,Kamis,2
2011-01-13,14,Kamis,3
2011-01-13,15,Kamis,5
2011-01-13,16,Kamis,2
2011-01-13,17,Kamis,4
2011-01-13,18,Kamis,3
2011-01-13,19,Kamis,1
2011-01-13,20,Kamis,0
2011-01-13,21,Kamis,0
2011-01-13,22,Kamis,0
2011-01-13,23,Kamis,1
2011-01-14,0,Jumat,0
2011-01-14,1,Jumat,0
2011-01-14,2,Jumat,0
2011-01-14,3,Jumat,0
2011-01-14,5,Jumat,0
2011-01-14,6,Jumat,0
2011-01-14,7,Jumat,0
2011-01-14,8,Jumat,2
2011-01-14,9,Jumat,0
2011-01-14,10,Jumat,4
2011-01-14,11,Jumat,6
2011-01-14,12,Jumat,2
2011-01-14,13,Jumat,4
2011-01-14,14,Jumat,5
2011-01-14,15,Jumat,9
2011-01-14,16,Jumat,3
2011-01-14,17,Jumat,4
2011-01-14,18,Jumat,5
2011-01-14,19,Jumat,3
2011-01-14,20,Jumat,0
2011-01-14,21,Jumat,4
2011-01-14,22,Jumat,2
2011-01-14,23,Jumat,1
2011-01-15,0,Sabtu,3
2011-01-15,1,Sabtu,2
2011-01-15,2,Sabtu,0
2011-01-15,3,Sabtu,1
2011-01-15,4,Sabtu,0
2011-01-15,5,Sabtu,0
2011-01-15,6,Sabtu,1
2011-01-15,7,Sabtu,1
2011-01-15,8,Sabtu,1
2011-01-15,9,Sabtu,2
2011-01-15,10,Sabtu,2
2011-01-15,11,Sabtu,18
2011-01-15,12,Sabtu,15
2011-01-15,13,Sabtu,21
2011-01-15,14,Sabtu,26
2011-01-15,15,Sabtu,21
2011-01-15,16,Sabtu,33
2011-01-15,17,Sabtu,29
2011-01-15,18,Sabtu,15
2011-01-15,19,Sabtu,14
2011-01-15,20,Sabtu,6
2011-01-15,21,Sabtu,6
2011-01-15,22,Sabtu,0
2011-01-15,23,Sabtu,5
2011-01-16,0,Minggu,6
2011-01-16,1,Minggu,4
2011-01-16,2,Minggu,3
2011-01-16,3,Minggu,9
2011-01-16,4,Minggu,0
2011-01-16,5,Minggu,1
2011-01-16,6,Minggu,0
2011-01-16,7,Minggu,0
2011-01-16,8,Minggu,0
2011-01-16,9,Minggu,3
2011-01-16,10,Minggu,8
2011-01-16,11,Minggu,23
2011-01-16,12,Minggu,29
2011-01-16,13,Minggu,23
2011-01-16,14,Minggu,22
2011-01-16,15,Minggu,35
2011-01-16,16,Minggu,22
2011-01-16,17,Minggu,23
2011-01-16,18,Minggu,11
2011-01-16,19,Minggu,14
2011-01-16,20,Minggu,7
2011-01-16,21,Minggu,6
2011-01-16,22,Minggu,2
2011-01-16,23,Minggu,0
2011-01-17,0,Senin,1
2011-01-17,1,Senin,1
2011-01-17,2,Senin,0
2011-01-17,3,Senin,0
2011-01-17,4,Senin,1
2011-01-17,5,Senin,0
2011-01-17,6,Senin,0
2011-01-17,7,Senin,4
2011-01-17,8,Senin,3
2011-01-17,9,Senin,8
2011-01-17,10,Senin,7
2011-01-17,11,Senin,9
2011-01-17,12,Senin,10
2011-01-17,13,Senin,13
2011-01-17,14,Senin,12
2011-01-17,15,Senin,21
2011-01-17,16,Senin,6
2011-01-17,17,Senin,4
2011-01-17,18,Senin,7
2011-01-17,19,Senin,2
2011-01-17,20,Senin,4
2011-01-17,21,Senin,3
2011-01-17,22,Senin,0
2011-01-17,23,Senin,1
2011-01-18,12,Selasa,0
2011-01-18,13,Selasa,0
2011-01-18,14,Selasa,2
2011-01-18,15,Selasa,3
2011-01-18,16,Selasa,0
2011-01-18,17,Selasa,1
2011-01-18,18,Selasa,1
2011-01-18,19,Selasa,1
2011-01-18,20,Selasa,0
2011-01-18,21,Selasa,0
2011-01-18,22,Selasa,0
2011-01-18,23,Selasa,1
2011-01-19,0,Rabu,0
2011-01-19,1,Rabu,1
2011-01-19,2,Rabu,0
2011-01-19,4,Rabu,1
2011-01-19,5,Rabu,0
2011-01-19,6,Rabu,0
2011-01-19,7,Rabu,1
2011-01-19,8,Rabu,1
2011-01-19,9,Rabu,2
2011-01-19,10,Rabu,1
2011-01-19,11,Rabu,5
2011-01-19,12,Rabu,5
2011-01-19,13,Rabu,11
2011-01-19,14,Rabu,7
2011-01-19,15,Rabu,4
2011-01-19,16,Rabu,10
2011-01-19,17,Rabu,7
2011-01-19,18,Rabu,5
2011-01-19,19,Rabu,4
2011-01-19,20,Rabu,2
2011-01-19,21,Rabu,4
2011-01-19,22,Rabu,6
2011-01-19,23,Rabu,1
2011-01-20,0,Kamis,5
2011-01-20,1,Kamis,2
2011-01-20,2,Kamis,0
2011-01-20,3,Kamis,0
2011-01-20,4,Kamis,0
2011-01-20,5,Kamis,0
2011-01-20,6,Kamis,0
2011-01-20,7,Kamis,1
2011-01-20,8,Kamis,2
2011-01-20,9,Kamis,3
2011-01-20,10,Kamis,1
2011-01-20,11,Kamis,5
2011-01-20,12,Kamis,7
2011-01-20,13,Kamis,12
2011-01-20,14,Kamis,6
2011-01-20,15,Kamis,8
2011-01-20,16,Kamis,8
2011-01-20,17,Kamis,8
2011-01-20,18,Kamis,1
2011-01-20,19,Kamis,6
2011-01-20,20,Kamis,2
2011-01-20,21,Kamis,3
2011-01-20,22,Kamis,0
2011-01-20,23,Kamis,3
2011-01-21,0,Jumat,1
2011-01-21,1,Jumat,0
2011-01-21,2,Jumat,0
2011-01-21,3,Jumat,0
2011-01-21,4,Jumat,0
2011-01-21,5,Jumat,1
2011-01-21,6,Jumat,0
2011-01-21,7,Jumat,2
2011-01-21,8,Jumat,7
2011-01-21,9,Jumat,7
2011-01-21,10,Jumat,6
2011-01-21,11,Jumat,6
2011-01-21,12,Jumat,11
2011-01-21,13,Jumat,8
2011-01-21,14,Jumat,6
2011-01-21,15,Jumat,4
2011-01-21,16,Jumat,0
2011-01-21,17,Jumat,10
2011-01-21,18,Jumat,1
2011-01-21,19,Jumat,3
2011-01-21,20,Jumat,1
2011-01-21,21,Jumat,0
2011-01-21,22,Jumat,1
2011-01-21,23,Jumat,0
2011-01-22,0,Sabtu,0
2011-01-22,1,Sabtu,3
2011-01-22,2,Sabtu,0
2011-01-22,3,Sabtu,1
2011-01-22,4,Sabtu,0
2011-01-22,6,Sabtu,0
2011-01-22,7,Sabtu,0
2011-01-22,8,Sabtu,1
2011-01-22,9,Sabtu,3
2011-01-22,10,Sabtu,3
2011-01-22,11,Sabtu,4
2011-01-22,12,Sabtu,10
2011-01-22,13,Sabtu,12
2011-01-22,14,Sabtu,11
2011-01-22,15,Sabtu,10
2011-01-22,16,Sabtu,11
2011-01-22,17,Sabtu,8
2011-01-22,18,Sabtu,0
2011-01-22,19,Sabtu,6
2011-01-22,20,Sabtu,1
2011-01-22,21,Sabtu,0
2011-01-22,22,Sabtu,7
2011-01-22,23,Sabtu,2
2011-01-23,0,Minggu,2
2011-01-23,1,Minggu,1
2011-01-23,2,Minggu,3
2011-01-23,3,Minggu,1
2011-01-23,5,Minggu,0
2011-01-23,6,Minggu,0
2011-01-23,7,Minggu,1
2011-01-23,8,Minggu,2
2011-01-23,9,Minggu,3
2011-01-23,10,Minggu,7
2011-01-23,11,Minggu,22
2011-01-23,12,Minggu,24
2011-01-23,13,Minggu,12
2011-01-23,14,Minggu,17
2011-01-23,15,Minggu,13
2011-01-23,16,Minggu,9
2011-01-23,17,Minggu,5
2011-01-23,18,Minggu,5
2011-01-23,19,Minggu,5
2011-01-23,20,Minggu,4
2011-01-23,21,Minggu,5
2011-01-23,22,Minggu,5
2011-01-23,23,Minggu,4
2011-01-24,0,Senin,0
2011-01-24,1,Senin,0
2011-01-24,3,Senin,0
2011-01-24,4,Senin,0
2011-01-24,5,Senin,0
2011-01-24,6,Senin,0
2011-01-24,7,Senin,5
2011-01-24,8,Senin,6
2011-01-24,9,Senin,4
2011-01-24,10,Senin,6
2011-01-24,11,Senin,3
2011-01-24,12,Senin,11
2011-01-24,13,Senin,6
2011-01-24,14,Senin,2
2011-01-24,15,Senin,7
2011-01-24,16,Senin,4
2011-01-24,17,Senin,6
2011-01-24,18,Senin,8
2011-01-24,19,Senin,5
2011-01-24,20,Senin,1
2011-01-24,21,Senin,6
2011-01-24,22,Senin,3
2011-01-24,23,Senin,3
2011-01-25,0,Selasa,3
2011-01-25,1,Selasa,0
2011-01-25,2,Selasa,0
2011-01-25,4,Selasa,0
2011-01-25,5,Selasa,0
2011-01-25,6,Selasa,1
2011-01-25,7,Selasa,5
2011-01-25,8,Selasa,5
2011-01-25,9,Selasa,10
2011-01-25,10,Selasa,6
2011-01-25,11,Selasa,6
2011-01-25,12,Selasa,21
2011-01-25,13,Selasa,21
2011-01-25,14,Selasa,11
2011-01-25,15,Selasa,21
2011-01-25,16,Selasa,14
2011-01-25,17,Selasa,14
2011-01-25,18,Selasa,7
2011-01-25,19,Selasa,13
2011-01-25,20,Selasa,16
2011-01-25,21,Selasa,5
2011-01-25,22,Selasa,4
2011-01-25,23,Selasa,3
2011-01-26,0,Rabu,3
2011-01-26,1,Rabu,0
2011-01-26,2,Rabu,3
2011-01-26,5,Rabu,0
2011-01-26,6,Rabu,0
2011-01-26,7,Rabu,1
2011-01-26,8,Rabu,3
2011-01-26,9,Rabu,3
2011-01-26,10,Rabu,2
2011-01-26,11,Rabu,6
2011-01-26,12,Rabu,7
2011-01-26,13,Rabu,4
2011-01-26,14,Rabu,0
2011-01-26,15,Rabu,1
2011-01-26,16,Rabu,1
2011-01-26,17,Rabu,0
2011-01-27,16,Kamis,1
2011-01-27,17,Kamis,2
2011-01-27,18,Kamis,3
2011-01-27,19,Kamis,3
2011-01-27,20,Kamis,4
2011-01-27,21,Kamis,2
2011-01-27,22,Kamis,0
2011-01-27,23,Kamis,0
2011-01-28,0,Jumat,0
2011-01-28,1,Jumat,1
2011-01-28,2,Jumat,0
2011-01-28,3,Jumat,1
2011-01-28,5,Jumat,0
2011-01-28,6,Jumat,0
2011-01-28,7,Jumat,2
2011-01-28,8,Jumat,2
2011-01-28,9,Jumat,6
2011-01-28,10,Jumat,0
2011-01-28,11,Jumat,0
2011-01-28,12,Jumat,1
2011-01-28,13,Jumat,0
2011-01-28,14,Jumat,2
2011-01-28,15,Jumat,1
2011-01-28,16,Jumat,10
2011-01-28,17,Jumat,2
2011-01-28,18,Jumat,2
2011-01-28,19,Jumat,5
2011-01-28,20,Jumat,1
2011-01-28,21,Jumat,1
2011-01-28,22,Jumat,0
2011-01-28,23,Jumat,1
2011-01-29,0,Sabtu,2
2011-01-29,1,Sabtu,0
2011-01-29,2,Sabtu,0
2011-01-29,3,Sabtu,3
2011-01-29,4,Sabtu,1
2011-01-29,6,Sabtu,0
2011-01-29,7,Sabtu,1
2011-01-29,8,Sabtu,3
2011-01-29,9,Sabtu,0
2011-01-29,10,Sabtu,4
2011-01-29,11,Sabtu,4
2011-01-29,12,Sabtu,12
2011-01-29,13,Sabtu,9
2011-01-29,14,Sabtu,10
2011-01-29,15,Sabtu,22
2011-01-29,16,Sabtu,19
2011-01-29,17,Sabtu,9
2011-01-29,18,Sabtu,9
2011-01-29,19,Sabtu,6
2011-01-29,20,Sabtu,1
2011-01-29,21,Sabtu,1
2011-01-29,22,Sabtu,4
2011-01-29,23,Sabtu,3
2011-01-30,0,Minggu,0
2011-01-30,1,Minggu,7
2011-01-30,2,Minggu,1
2011-01-30,3,Minggu,1
2011-01-30,4,Minggu,0
2011-01-30,5,Minggu,0
2011-01-30,7,Minggu,0
2011-01-30,8,Minggu,1
2011-01-30,9,Minggu,4
2011-01-30,10,Minggu,7
2011-01-30,11,Minggu,9
2011-01-30,12,Minggu,10
2011-01-30,13,Minggu,13
2011-01-30,14,Minggu,18
2011-01-30,15,Minggu,14
2011-01-30,16,Minggu,19
2011-01-30,17,Minggu,6
2011-01-30,18,Minggu,8
2011-01-30,19,Minggu,9
2011-01-30,20,Minggu,3
2011-01-30,21,Minggu,3
2011-01-30,22,Minggu,2
2011-01-30,23,Minggu,5
2011-01-31,0,Senin,1
2011-01-31,1,Senin,2
2011-01-31,2,Senin,0
2011-01-31,3,Senin,0
2011-01-31,4,Senin,0
2011-01-31,5,Senin,0
2011-01-31,6,Senin,0
2011-01-31,7,Senin,1
2011-01-31,8,Senin,3
2011-01-31,9,Senin,0
2011-01-31,10,Senin,1
2011-01-31,11,Senin,2
2011-01-31,12,Senin,6
2011-01-31,13,Senin,2
2011-01-31,14,Senin,1
2011-01-31,15,Senin,3
2011-01-31,16,Senin,3
2011-01-31,17,Senin,6
2011-01-31,18,Senin,3
2011-01-31,19,Senin,3
2011-01-31,20,Senin,0
2011-01-31,21,Senin,3
2011-01-31,22,Senin,0
2011-01-31,23,Senin,2
2011-02-01,0,Selasa,2
2011-02-01,1,Selasa,0
2011-02-01,2,Selasa,0
2011-02-01,3,Selasa,0
2011-02-01,5,Selasa,0
2011-02-01,6,Selasa,0
2011-02-01,7,Selasa,0
2011-02-01,8,Selasa,3
2011-02-01,9,Selasa,2
2011-02-01,10,Selasa,0
2011-02-01,11,Selasa,2
2011-02-01,12,Selasa,2
2011-02-01,13,Selasa,3
2011-02-01,14,Selasa,5
2011-02-01,15,Selasa,7
2011-02-01,16,Selasa,3
2011-02-01,17,Selasa,4
2011-02-01,18,Selasa,3
2011-02-01,19,Selasa,3
2011-02-01,20,Selasa,5
2011-02-01,21,Selasa,0
2011-02-01,22,Selasa,2
2011-02-01,23,Selasa,1
2011-02-02,0,Rabu,0
2011-02-02,1,Rabu,0
2011-02-02,2,Rabu,4
2011-02-02,3,Rabu,0
2011-02-02,4,Rabu,0
2011-02-02,5,Rabu,0
2011-02-02,6,Rabu,1
2011-02-02,7,Rabu,1
2011-02-02,8,Rabu,1
2011-02-02,9,Rabu,4
2011-02-02,10,Rabu,2
2011-02-02,11,Rabu,5
2011-02-02,12,Rabu,3
2011-02-02,13,Rabu,1
2011-02-02,14,Rabu,2
2011-02-02,15,Rabu,10
2011-02-02,16,Rabu,8
2011-02-02,17,Rabu,7
2011-02-02,18,Rabu,7
2011-02-02,19,Rabu,3
2011-02-02,20,Rabu,4
2011-02-02,21,Rabu,1
2011-02-02,22,Rabu,5
2011-02-02,23,Rabu,3
2011-02-03,0,Kamis,1
2011-02-03,1,Kamis,0
2011-02-03,2,Kamis,0
2011-02-03,3,Kamis,0
2011-02-03,5,Kamis,0
2011-02-03,6,Kamis,0
2011-02-03,7,Kamis,1
2011-02-03,8,Kamis,4
2011-02-03,9,Kamis,6
2011-02-03,10,Kamis,2
2011-02-03,11,Kamis,9
2011-02-03,12,Kamis,2
2011-02-03,13,Kamis,4
2011-02-03,14,Kamis,4
2011-02-03,15,Kamis,4
2011-02-03,16,Kamis,5
2011-02-03,17,Kamis,5
2011-02-03,18,Kamis,2
2011-02-03,19,Kamis,4
2011-02-03,20,Kamis,1
2011-02-03,21,Kamis,1
2011-02-03,22,Kamis,2
2011-02-03,23,Kamis,4
2011-02-04,0,Jumat,3
2011-02-04,1,Jumat,0
2011-02-04,2,Jumat,0
2011-02-04,3,Jumat,0
2011-02-04,5,Jumat,0
2011-02-04,6,Jumat,2
2011-02-04,7,Jumat,0
2011-02-04,8,Jumat,3
2011-02-04,9,Jumat,3
2011-02-04,10,Jumat,5
2011-02-04,11,Jumat,3
2011-02-04,12,Jumat,8
2011-02-04,13,Jumat,9
2011-02-04,14,Jumat,15
2011-02-04,15,Jumat,9
2011-02-04,16,Jumat,8
2011-02-04,17,Jumat,10
2011-02-04,18,Jumat,3
2011-02-04,19,Jumat,1
2011-02-04,20,Jumat,2
2011-02-04,21,Jumat,2
2011-02-04,22,Jumat,1
2011-02-04,23,Jumat,1
2011-02-05,0,Sabtu,3
2011-02-05,1,Sabtu,1
2011-02-05,2,Sabtu,5
2011-02-05,3,Sabtu,1
2011-02-05,4,Sabtu,0
2011-02-05,5,Sabtu,0
2011-02-05,6,Sabtu,0
2011-02-05,7,Sabtu,0
2011-02-05,8,Sabtu,0
2011-02-05,9,Sabtu,3
2011-02-05,10,Sabtu,3
2011-02-05,11,Sabtu,1
2011-02-05,12,Sabtu,10
2011-02-05,13,Sabtu,10
2011-02-05,14,Sabtu,5
2011-02-05,15,Sabtu,11
2011-02-05,16,Sabtu,8
2011-02-05,17,Sabtu,14
2011-02-05,18,Sabtu,2
2011-02-05,19,Sabtu,6
2011-02-05,20,Sabtu,5
2011-02-05,21,Sabtu,3
2011-02-05,22,Sabtu,2
2011-02-05,23,Sabtu,7
2011-02-06,0,Minggu,2
2011-02-06,1,Minggu,4
2011-02-06,2,Minggu,0
2011-02-06,3,Minggu,3
2011-02-06,4,Minggu,0
2011-02-06,5,Minggu,0
2011-02-06,6,Minggu,0
2011-02-06,7,Minggu,0
2011-02-06,8,Minggu,2
2011-02-06,9,Minggu,7
2011-02-06,10,Minggu,15
2011-02-06,11,Minggu,28
2011-02-06,12,Minggu,48
2011-02-06,13,Minggu,47
2011-02-06,14,Minggu,47
2011-02-06,15,Minggu,52
2011-02-06,16,Minggu,42
2011-02-06,17,Minggu,24
2011-02-06,18,Minggu,13
2011-02-06,19,Minggu,1
2011-02-06,20,Minggu,5
2011-02-06,21,Minggu,5
2011-02-06,22,Minggu,5
2011-02-06,23,Minggu,4
2011-02-07,0,Senin,1
2011-02-07,1,Senin,1
2011-02-07,2,Senin,0
2011-02-07,3,Senin,0
2011-02-07,4,Senin,1
2011-02-07,5,Senin,1
2011-02-07,6,Senin,1
2011-02-07,7,Senin,6
2011-02-07,8,Senin,7
2011-02-07,9,Senin,3
2011-02-07,10,Senin,6
2011-02-07,11,Senin,11
2011-02-07,12,Senin,7
2011-02-07,13,Senin,10
2011-02-07,14,Senin,8
2011-02-07,15,Senin,4
2011-02-07,16,Senin,16
2011-02-07,17,Senin,9
2011-02-07,18,Senin,5
2011-02-07,19,Senin,5
2011-02-07,20,Senin,6
2011-02-07,21,Senin,3
2011-02-07,22,Senin,3
2011-02-07,23,Senin,6
2011-02-08,0,Selasa,4
2011-02-08,1,Selasa,0
2011-02-08,2,Selasa,1
2011-02-08,3,Selasa,0
2011-02-08,4,Selasa,0
2011-02-08,5,Selasa,0
2011-02-08,6,Selasa,0
2011-02-08,7,Selasa,3
2011-02-08,8,Selasa,7
2011-02-08,9,Selasa,7
2011-02-08,10,Selasa,4
2011-02-08,11,Selasa,1
2011-02-08,12,Selasa,2
2011-02-08,13,Selasa,2
2011-02-08,14,Selasa,3
2011-02-08,15,Selasa,6
2011-02-08,16,Selasa,4
2011-02-08,17,Selasa,4
2011-02-08,18,Selasa,1
2011-02-08,19,Selasa,1
